sku,salesprice_currency,supplier_currency,supplier_price,Production_days,supplier_price_salescountry,carrier_cost,carrier_currency,carrier_days,extra_days,carrier_cost_salescountry,@Quantity,@Turnaround,@Material,@Size,supplier_currency_original,supplier,carrier
PO-115A-A3-1000-40-4,EUR,EUR,53.41,1,53.41,0,EUR,2,1,0,1000,4 days,115g Blue back,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A4-2000-40-4,EUR,EUR,48.78,1,48.78,0,EUR,2,1,0,2000,4 days,135g Gloss,A4,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-1-40-4,EUR,EUR,3.95,2,3.95,3.68,EUR,1,1,3.68,1,4 days,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-135G-A3-50-40-0,EUR,EUR,7.37,0,7.37,24,EUR,0,0,24,50,Same day,135g Gloss,A3,EUR,DPP,PARTSEXPRESS-SAMEDAY
PO-115A-B1-50-40-4,EUR,EUR,73,2,73,3.68,EUR,1,1,3.68,50,4 days,115g Blue back,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-115A-A1-10-40-4,EUR,EUR,17,2,17,3.68,EUR,1,1,3.68,10,4 days,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-135G-A3-600-40-2,EUR,EUR,38.72,0,38.72,0,EUR,2,0,0,600,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-2-40-1,EUR,EUR,5.4,0,5.4,3.68,EUR,1,0,3.68,2,1 day,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-135G-A3-600-40-3,EUR,EUR,38.72,0,38.72,0,EUR,2,1,0,600,3 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A2-4-40-5,EUR,EUR,10.73,3,10.73,3.68,EUR,1,1,3.68,4,5 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-135G-A1-9-40-2,EUR,EUR,14.95,1,14.95,3.68,EUR,1,0,3.68,9,2 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A3-9-40-4,EUR,EUR,2,2,2,3.68,EUR,1,1,3.68,9,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B2-450-40-1,EUR,EUR,78.1,0,78.1,6.8,EUR,1,0,6.8,450,1 day,135g Gloss,B2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-100-40-0,EUR,EUR,13.24,0,13.24,24,EUR,0,0,24,100,Same day,135g Gloss,A3,EUR,DPP,PARTSEXPRESS-SAMEDAY
PO-135G-B1-6-40-4,EUR,EUR,14,2,14,3.68,EUR,1,1,3.68,6,4 days,135g Gloss,B1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A1-9-40-4,EUR,EUR,14.95,2,14.95,3.68,EUR,1,1,3.68,9,4 days,135g Gloss,A1,EUR,TMB Image Center BV,TNT-AVG
PO-135G-B1-350-40-4,EUR,EUR,110.15,2,110.15,0,EUR,2,0,0,350,4 days,135g Gloss,B1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-B1-450-40-1,EUR,EUR,136.4,0,136.4,16.16,EUR,1,0,16.16,450,1 day,135g Gloss,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A1-450-40-4,EUR,EUR,104,1,104,0,EUR,2,1,0,450,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A1-20-40-3,EUR,EUR,98.3,2,98.3,3.68,EUR,1,0,3.68,20,3 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-115A-A1-150-40-2,EUR,EUR,82.64,0,82.64,0,EUR,2,0,0,150,2 days,115g Blue back,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-550-40-3,EUR,EUR,37.96,0,37.96,0,EUR,2,1,0,550,3 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-150-40-1,EUR,EUR,88,0,88,6.8,EUR,1,0,6.8,150,1 day,115g Blue back,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A3-2500-40-4,EUR,EUR,49.45,2,49.45,3.68,EUR,1,1,3.68,2500,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-CF-B2-1-40-5,EUR,EUR,4.41,3,4.41,3.68,EUR,1,1,3.68,1,5 days,Water resistant PVC,B2,EUR,Probo,TNT-AVG
PO-135G-A3-9-40-2,EUR,EUR,2,1,2,3.68,EUR,1,0,3.68,9,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-3000-40-2,EUR,EUR,98.71,0,98.71,0,EUR,2,0,0,3000,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A2-900-40-3,EUR,EUR,80.08,0,80.08,0,EUR,2,1,0,900,3 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A4-1500-40-1,EUR,EUR,91.5,0,91.5,3.68,EUR,1,0,3.68,1500,1 day,135g Gloss,A4,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A4-20-40-2,EUR,EUR,2.7,0,2.7,3.68,EUR,1,1,3.68,20,2 days,135g Gloss,A4,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-115A-A2-400-40-1,EUR,EUR,83.6,0,83.6,3.68,EUR,1,0,3.68,400,1 day,115g Blue back,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-CF-A0-2-40-2,EUR,EUR,24.47,1,24.47,3.68,EUR,1,0,3.68,2,2 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-135G-A3-800-40-5,EUR,EUR,44.38,2,44.38,0,EUR,2,1,0,800,5 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A2-25-40-2,EUR,EUR,74.28,1,74.28,3.68,EUR,1,0,3.68,25,2 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-135G-A4-3-40-4,EUR,EUR,1.47,2,1.47,3.68,EUR,1,1,3.68,3,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-115A-A0-15-40-1,EUR,EUR,41.45,0,41.45,3.68,EUR,1,0,3.68,15,1 day,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-A3-30-40-2,EUR,EUR,3.8,1,3.8,3.68,EUR,1,0,3.68,30,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B2-20-40-1,EUR,EUR,5.5,0,5.5,3.68,EUR,1,0,3.68,20,1 day,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-ABRI-6-40-2,EUR,EUR,39,1,39,3.68,EUR,1,0,3.68,6,2 days,135g Gloss,Abri,EUR,TMB Image Center BV,TNT-AVG
PO-135G-A4-6-40-1,EUR,EUR,1.86,0,1.86,3.68,EUR,1,0,3.68,6,1 day,135g Gloss,A4,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-CF-A3-50-40-5,EUR,EUR,61.81,3,61.81,6.8,EUR,1,1,6.8,50,5 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-135G-B1-3-40-2,EUR,EUR,7.7,1,7.7,3.68,EUR,1,0,3.68,3,2 days,135g Gloss,B1,EUR,TMB Image Center BV,TNT-AVG
PO-115A-A3-25-40-4,EUR,EUR,10.5,2,10.5,3.68,EUR,1,1,3.68,25,4 days,115g Blue back,A3,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A4-4500-40-1,EUR,EUR,271.5,0,271.5,6.8,EUR,1,0,6.8,4500,1 day,135g Gloss,A4,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A3-2500-40-2,EUR,EUR,49.45,1,49.45,3.68,EUR,1,0,3.68,2500,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-CF-A3-20-40-5,EUR,EUR,25.32,3,25.32,3.68,EUR,1,1,3.68,20,5 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-CF-A1-15-40-3,EUR,EUR,73.97,2,73.97,3.68,EUR,1,0,3.68,15,3 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-135G-A3-500-40-0,EUR,EUR,60.22,0,60.22,24,EUR,0,0,24,500,Same day,135g Gloss,A3,EUR,DPP,PARTSEXPRESS-SAMEDAY
PO-115A-A3-250-40-2,EUR,EUR,31.15,0,31.15,0,EUR,2,0,0,250,2 days,115g Blue back,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-150-40-4,EUR,EUR,82.64,1,82.64,0,EUR,2,1,0,150,4 days,115g Blue back,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-250-40-4,EUR,EUR,90.04,1,90.04,0,EUR,2,1,0,250,4 days,115g Blue back,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A3-20-40-3,EUR,EUR,25.32,2,25.32,3.68,EUR,1,0,3.68,20,3 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-135G-A0-20-40-2,EUR,EUR,54.2,0,54.2,3.68,EUR,1,1,3.68,20,2 days,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-135G-A0-9-40-1,EUR,EUR,26.15,0,26.15,3.68,EUR,1,0,3.68,9,1 day,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-135G-A1-7-40-1,EUR,EUR,12.65,0,12.65,3.68,EUR,1,0,3.68,7,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-115A-A0-5-40-2,EUR,EUR,15.95,0,15.95,3.68,EUR,1,1,3.68,5,2 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-B2-15-40-2,EUR,EUR,5,0,5,3.68,EUR,1,1,3.68,15,2 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-B1-5-40-1,EUR,EUR,15.85,0,15.85,3.68,EUR,1,0,3.68,5,1 day,135g Gloss,B1,EUR,Probo,TNT-AVG
PO-115A-A0-25-40-2,EUR,EUR,66.95,0,66.95,3.68,EUR,1,1,3.68,25,2 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-CF-A0-3-40-5,EUR,EUR,30.21,3,30.21,3.68,EUR,1,1,3.68,3,5 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-115A-A3-50-40-2,EUR,EUR,14,0,14,3.68,EUR,1,1,3.68,50,2 days,115g Blue back,A3,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-ABRI-6-40-1,EUR,EUR,40.65,0,40.65,3.68,EUR,1,0,3.68,6,1 day,135g Gloss,Abri,EUR,Probo,TNT-AVG
PO-135G-A4-300-40-2,EUR,EUR,11,1,11,3.68,EUR,1,0,3.68,300,2 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-B1-3-40-1,EUR,EUR,10.65,0,10.65,3.68,EUR,1,0,3.68,3,1 day,135g Gloss,B1,EUR,Probo,TNT-AVG
PO-115A-A3-50-40-1,EUR,EUR,14,0,14,3.68,EUR,1,0,3.68,50,1 day,115g Blue back,A3,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A2-5-40-1,EUR,EUR,7.05,0,7.05,3.68,EUR,1,0,3.68,5,1 day,115g Blue back,A2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-B1-100-40-4,EUR,EUR,81.5,2,81.5,3.68,EUR,1,1,3.68,100,4 days,115g Blue back,B1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A4-350-40-4,EUR,EUR,11,2,11,3.68,EUR,1,1,3.68,350,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A4-400-40-1,EUR,EUR,20.52,0,20.52,3.68,EUR,1,0,3.68,400,1 day,135g Gloss,A4,EUR,RPI print,TNT-AVG
PO-115A-A2-20-40-1,EUR,EUR,13.2,0,13.2,3.68,EUR,1,0,3.68,20,1 day,115g Blue back,A2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A1-50-40-2,EUR,EUR,66,1,66,3.68,EUR,1,0,3.68,50,2 days,115g Blue back,A1,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-B1-8-40-1,EUR,EUR,23.65,0,23.65,3.68,EUR,1,0,3.68,8,1 day,135g Gloss,B1,EUR,Probo,TNT-AVG
PO-135G-A4-8-40-1,EUR,EUR,1.98,0,1.98,3.68,EUR,1,0,3.68,8,1 day,135g Gloss,A4,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-CF-ABRI-3-40-3,EUR,EUR,61.86,2,61.86,3.68,EUR,1,0,3.68,3,3 days,Water resistant PVC,Abri,EUR,Probo,TNT-AVG
PO-135G-B2-15-40-1,EUR,EUR,5,0,5,3.68,EUR,1,0,3.68,15,1 day,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A4-600-40-3,EUR,EUR,33.21,0,33.21,0,EUR,2,1,0,600,3 days,135g Gloss,A4,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A0-4-40-1,EUR,EUR,13.4,0,13.4,3.68,EUR,1,0,3.68,4,1 day,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-B2-500-40-2,EUR,EUR,72.41,0,72.41,0,EUR,2,0,0,500,2 days,135g Gloss,B2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A0-15-40-2,EUR,EUR,41.45,0,41.45,3.68,EUR,1,1,3.68,15,2 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-ABRI-5-40-2,EUR,EUR,33,1,33,3.68,EUR,1,0,3.68,5,2 days,135g Gloss,Abri,EUR,TMB Image Center BV,TNT-AVG
PO-CF-A1-15-40-5,EUR,EUR,73.97,3,73.97,3.68,EUR,1,1,3.68,15,5 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-115A-A1-1-40-1,EUR,EUR,3.95,0,3.95,3.68,EUR,1,0,3.68,1,1 day,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-115A-A2-600-40-5,EUR,EUR,73.33,2,73.33,0,EUR,2,1,0,600,5 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A4-4000-40-4,EUR,EUR,72.37,1,72.37,0,EUR,2,1,0,4000,4 days,135g Gloss,A4,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A2-10-40-5,EUR,EUR,25.32,3,25.32,3.68,EUR,1,1,3.68,10,5 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-135G-A3-8-40-2,EUR,EUR,2,1,2,3.68,EUR,1,0,3.68,8,2 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A0-15-40-2,EUR,EUR,41.45,0,41.45,3.68,EUR,1,1,3.68,15,2 days,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-CF-A0-5-40-5,EUR,EUR,49.69,3,49.69,3.68,EUR,1,1,3.68,5,5 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-135G-A4-2500-40-2,EUR,EUR,45,0,45,6.8,EUR,1,1,6.8,2500,2 days,135g Gloss,A4,EUR,Control Media,TNT-AVG
PO-115A-A3-10-40-4,EUR,EUR,7.2,2,7.2,3.68,EUR,1,1,3.68,10,4 days,115g Blue back,A3,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A2-500-40-4,EUR,EUR,64.82,1,64.82,0,EUR,2,1,0,500,4 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A2-10-40-4,EUR,EUR,9.1,2,9.1,3.68,EUR,1,1,3.68,10,4 days,115g Blue back,A2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-B1-2-40-1,EUR,EUR,8.05,0,8.05,3.68,EUR,1,0,3.68,2,1 day,115g Blue back,B1,EUR,Probo,TNT-AVG
PO-CF-B1-2-40-2,EUR,EUR,17.45,1,17.45,3.68,EUR,1,0,3.68,2,2 days,Water resistant PVC,B1,EUR,Probo,TNT-AVG
PO-135G-A2-550-40-2,EUR,EUR,65.04,0,65.04,0,EUR,2,0,0,550,2 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A0-4-40-2,EUR,EUR,47.94,1,47.94,3.68,EUR,1,0,3.68,4,2 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-135G-ABRI-5-40-4,EUR,EUR,33,2,33,3.68,EUR,1,1,3.68,5,4 days,135g Gloss,Abri,EUR,TMB Image Center BV,TNT-AVG
PO-115A-A2-350-40-1,EUR,EUR,77,0,77,3.68,EUR,1,0,3.68,350,1 day,115g Blue back,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-7-40-1,EUR,EUR,3.76,0,3.76,3.68,EUR,1,0,3.68,7,1 day,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-A4-6-40-4,EUR,EUR,1.47,2,1.47,3.68,EUR,1,1,3.68,6,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A3-30-40-4,EUR,EUR,3.8,2,3.8,3.68,EUR,1,1,3.68,30,4 days,135g Gloss,A3,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A4-8-40-4,EUR,EUR,1.47,2,1.47,3.68,EUR,1,1,3.68,8,4 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-CF-A2-20-40-3,EUR,EUR,49.65,2,49.65,3.68,EUR,1,0,3.68,20,3 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-115A-B2-25-40-4,EUR,EUR,15.25,2,15.25,3.68,EUR,1,1,3.68,25,4 days,115g Blue back,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-B2-1-40-2,EUR,EUR,2.75,0,2.75,3.68,EUR,1,1,3.68,1,2 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A4-400-40-2,EUR,EUR,11,1,11,3.68,EUR,1,0,3.68,400,2 days,135g Gloss,A4,EUR,Zalsman B.V.,TNT-AVG
PO-135G-A2-550-40-5,EUR,EUR,65.04,2,65.04,0,EUR,2,1,0,550,5 days,135g Gloss,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A2-300-40-2,EUR,EUR,57.33,0,57.33,0,EUR,2,0,0,300,2 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A1-350-40-4,EUR,EUR,98.21,1,98.21,0,EUR,2,1,0,350,4 days,135g Gloss,A1,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A2-400-40-2,EUR,EUR,61.08,0,61.08,0,EUR,2,0,0,400,2 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A2-4-40-3,EUR,EUR,10.73,2,10.73,3.68,EUR,1,0,3.68,4,3 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-135G-A3-800-40-2,EUR,EUR,44.38,0,44.38,0,EUR,2,0,0,800,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A1-8-40-3,EUR,EUR,39.92,2,39.92,3.68,EUR,1,0,3.68,8,3 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-CF-A2-15-40-3,EUR,EUR,37.49,2,37.49,3.68,EUR,1,0,3.68,15,3 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-115A-A2-5-40-4,EUR,EUR,7.05,2,7.05,3.68,EUR,1,1,3.68,5,4 days,115g Blue back,A2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-135G-A3-1250-40-2,EUR,EUR,53.81,0,53.81,0,EUR,2,0,0,1250,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-1500-40-2,EUR,EUR,60.21,0,60.21,0,EUR,2,0,0,1500,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A2-200-40-1,EUR,EUR,57.2,0,57.2,3.68,EUR,1,0,3.68,200,1 day,115g Blue back,A2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-B1-15-40-2,EUR,EUR,32.9,1,32.9,3.68,EUR,1,0,3.68,15,2 days,135g Gloss,B1,EUR,TMB Image Center BV,TNT-AVG
PO-CF-A3-3-40-5,EUR,EUR,4.65,3,4.65,3.68,EUR,1,1,3.68,3,5 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-CF-A1-3-40-3,EUR,EUR,15.59,2,15.59,3.68,EUR,1,0,3.68,3,3 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-115A-B2-100-40-1,EUR,EUR,38,0,38,3.68,EUR,1,0,3.68,100,1 day,115g Blue back,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A3-15-40-4,EUR,EUR,8.3,2,8.3,3.68,EUR,1,1,3.68,15,4 days,115g Blue back,A3,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-CF-A2-3-40-5,EUR,EUR,8.3,3,8.3,3.68,EUR,1,1,3.68,3,5 days,Water resistant PVC,A2,EUR,Probo,TNT-AVG
PO-135G-A0-8-40-2,EUR,EUR,23.6,0,23.6,3.68,EUR,1,1,3.68,8,2 days,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-CF-B2-2-40-5,EUR,EUR,7.83,3,7.83,3.68,EUR,1,1,3.68,2,5 days,Water resistant PVC,B2,EUR,Probo,TNT-AVG
PO-CF-A3-5-40-5,EUR,EUR,7.08,3,7.08,3.68,EUR,1,1,3.68,5,5 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-115A-A2-350-40-4,EUR,EUR,59.21,1,59.21,0,EUR,2,1,0,350,4 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-B1-5-40-2,EUR,EUR,15.85,0,15.85,3.68,EUR,1,1,3.68,5,2 days,115g Blue back,B1,EUR,Probo,TNT-AVG
PO-115A-A1-20-40-2,EUR,EUR,31.5,0,31.5,3.68,EUR,1,1,3.68,20,2 days,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-115A-A0-4-40-4,EUR,EUR,13.4,2,13.4,3.68,EUR,1,1,3.68,4,4 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-CF-A3-4-40-5,EUR,EUR,5.86,3,5.86,3.68,EUR,1,1,3.68,4,5 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-CF-A1-7-40-5,EUR,EUR,35.05,3,35.05,3.68,EUR,1,1,3.68,7,5 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-115A-A3-300-40-4,EUR,EUR,34.75,1,34.75,0,EUR,2,1,0,300,4 days,115g Blue back,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A1-2-40-2,EUR,EUR,12.73,1,12.73,3.68,EUR,1,0,3.68,2,2 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-CF-A0-3-40-2,EUR,EUR,36.21,1,36.21,3.68,EUR,1,0,3.68,3,2 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-135G-A2-30-40-4,EUR,EUR,7.9,2,7.9,3.68,EUR,1,1,3.68,30,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-CF-A1-5-40-3,EUR,EUR,25.32,2,25.32,3.68,EUR,1,0,3.68,5,3 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-135G-A2-9-40-4,EUR,EUR,4.12,2,4.12,3.68,EUR,1,1,3.68,9,4 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-115A-A2-15-40-1,EUR,EUR,11.15,0,11.15,3.68,EUR,1,0,3.68,15,1 day,115g Blue back,A2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A2-250-40-2,EUR,EUR,50.71,0,50.71,0,EUR,2,0,0,250,2 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-115A-A1-25-40-2,EUR,EUR,38.75,0,38.75,3.68,EUR,1,1,3.68,25,2 days,115g Blue back,A1,EUR,Probo,TNT-AVG
PO-115A-A0-3-40-4,EUR,EUR,10.85,2,10.85,3.68,EUR,1,1,3.68,3,4 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-A1-9-40-1,EUR,EUR,15.55,0,15.55,3.68,EUR,1,0,3.68,9,1 day,135g Gloss,A1,EUR,Probo,TNT-AVG
PO-CF-A1-5-40-5,EUR,EUR,25.32,3,25.32,3.68,EUR,1,1,3.68,5,5 days,Water resistant PVC,A1,EUR,Probo,TNT-AVG
PO-135G-A3-4-40-2,EUR,EUR,1.9,0,1.9,3.68,EUR,1,1,3.68,4,2 days,135g Gloss,A3,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-135G-B2-5-40-4,EUR,EUR,3.5,2,3.5,3.68,EUR,1,1,3.68,5,4 days,135g Gloss,B2,EUR,Drukkerij Wihabo BV,TNT-AVG
PO-115A-A0-1-40-1,EUR,EUR,5.75,0,5.75,3.68,EUR,1,0,3.68,1,1 day,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-115A-B2-150-40-4,EUR,EUR,51,2,51,3.68,EUR,1,1,3.68,150,4 days,115g Blue back,B2,EUR,De Groot Drukkerij B.V.,TNT-AVG
PO-135G-A2-30-40-2,EUR,EUR,7.9,0,7.9,3.68,EUR,1,1,3.68,30,2 days,135g Gloss,A2,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-115A-B1-1-40-4,EUR,EUR,5.45,2,5.45,3.68,EUR,1,1,3.68,1,4 days,115g Blue back,B1,EUR,Probo,TNT-AVG
PO-CF-A3-25-40-3,EUR,EUR,31.41,2,31.41,3.68,EUR,1,0,3.68,25,3 days,Water resistant PVC,A3,EUR,Probo,TNT-AVG
PO-115A-A0-8-40-4,EUR,EUR,23.6,2,23.6,3.68,EUR,1,1,3.68,8,4 days,115g Blue back,A0,EUR,Probo,TNT-AVG
PO-135G-A3-35-40-1,EUR,EUR,5,0,5,3.68,EUR,1,0,3.68,35,1 day,135g Gloss,A3,EUR,Verhaag Drukkerij BV,TNT-AVG
PO-115A-A2-200-40-2,EUR,EUR,48.83,0,48.83,0,EUR,2,0,0,200,2 days,115g Blue back,A2,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-135G-A3-550-40-2,EUR,EUR,37.96,0,37.96,0,EUR,2,0,0,550,2 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
PO-CF-A0-3-40-3,EUR,EUR,30.21,2,30.21,3.68,EUR,1,0,3.68,3,3 days,Water resistant PVC,A0,EUR,Probo,TNT-AVG
PO-135G-A0-7-40-1,EUR,EUR,21.05,0,21.05,3.68,EUR,1,0,3.68,7,1 day,135g Gloss,A0,EUR,Probo,TNT-AVG
PO-115A-B1-4-40-1,EUR,EUR,13.25,0,13.25,3.68,EUR,1,0,3.68,4,1 day,115g Blue back,B1,EUR,Probo,TNT-AVG
PO-135G-A3-650-40-3,EUR,EUR,39.46,0,39.46,0,EUR,2,1,0,650,3 days,135g Gloss,A3,EUR,Onlineprinters.nl,OWN_CARRIER_OP.NL
